"state","Locale","Service Area Population","Total Circulation","Percentage of Children's Material Circulation","Central Library","Branch Library","Bookmobiles","Internet Computers","Computer Uses","Wireless Sessions","Children's Programs","Young Adult Programs","Adult Programs","Children's Program Attendance","Adult Program Attendance","General Interest Program Attendance","General Interest Programs","Local Revenue ($)","State Revenue ($)","Federal Revenue ($)","Other Revenue ($)","Hours/Year","Physical Visits","Reference Transactions","Registered Users","Inter-library Loans to Other Library","Inter-library Loans from Other Library"
"PA","City",65382,132880,31,1,0,0,10,8275,62015,138,7,64,2817,425,0,0,224134,435360,0,291183,3380,73454,2954,52626,13648,11527
"IA","Rural",2016,17274,23,1,0,0,8,2312,3222,55,3,109,1339,449,163,13,93402,2346,0,9876,2288,14400,3120,1806,490,184
"TX","Town",29578,106005,55,1,0,0,22,11647,15318,118,8,179,4215,4829,3104,66,616640,0,0,26942,2148,60738,42188,26903,56,126
"SC","Town",24295,31576,35,1,2,0,34,4814,60027,0,0,0,0,0,1477,195,226261,107051,1200,6681,4654,26689,1820,20634,1,0
"IA","Rural",704,4202,17,1,0,0,5,117,2330,41,0,1,206,32,132,4,20088,1432,0,11016,1040,2243,164,578,160,17
"NY","Suburban",7569,74910,32,1,0,0,6,682,2568,265,70,80,2240,1154,0,0,607191,27247,0,20936,2340,17243,2432,3759,7538,13677
"IA","Rural",3812,17352,37,1,0,0,4,666,205,21,7,2,507,5,750,15,144276,3493,0,2225,2096,9104,1500,1825,131,680
"MA","Suburban",18303,112534,42,1,0,0,10,3380,8396,304,3,266,6344,2512,437,24,651134,38596,0,900,2361,83035,4774,6654,16373,18034
"KY","Town",49024,117497,26,1,0,1,35,2500,32000,88,15,42,3405,199,223,14,1650706,0,4672,142485,2367,16888,5948,29154,59,110
"AL","Rural",1228,599,19,1,0,0,5,75,924,5,3,16,50,772,0,0,25830,1411,0,0,1080,1230,32,2168,0,0
"IA","Suburban",4484,14074,53,1,0,0,3,423,1363,50,0,15,1084,213,1255,12,223037,0,0,3444,2196,13000,175,1147,334,261
"NY","Suburban",15343,48537,31,1,0,0,8,2822,2588,28,8,27,226,238,226,1,777282,6255,0,36927,1740,33193,2420,6744,7360,7494
"TX","Suburban",13818,28509,26,1,0,0,22,2884,1567,34,7,44,752,389,1227,14,495274,0,20000,3626,1720,19859,847,8593,0,0
"TX","Suburban",33560,193225,35,1,0,0,5,5632,9000,233,38,120,7721,1626,5399,51,782260,0,10000,12000,3008,35656,3243,62279,224,288
"MT","City",117922,698707,33,1,6,0,45,8589,505112,338,165,313,7484,11411,2214,36,3183847,45762,0,117100,9360,182439,111350,57623,75048,70195
"IA","Rural",446,2560,11,1,0,0,5,260,3752,0,0,0,0,0,0,0,25046,1504,0,10108,1144,2350,115,131,189,105
"MI","Suburban",14983,38363,35,1,0,0,17,137068,3237,142,45,54,1761,1305,866,35,560382,14726,0,104641,2140,25847,2690,2531,7353,5456
"MO","Town",8771,115600,47,1,0,0,25,5306,21144,169,25,89,4933,2078,3000,2,660994,7601,14585,169810,3640,93605,3558,7096,14062,17062
"IL","Suburban",4675,177,17,1,0,0,20,1100,500,5,5,30,170,200,50,2,3e+05,6671,7500,1910,1872,1300,0,1800,17,21
"SC","City",137059,179582,42,1,5,1,206,22870,71175,1365,507,143,27200,4609,0,0,4086887,308059,37262,20000,15548,154359,37058,55377,28397,11581
"IN","Suburban",14661,98879,52,1,0,0,16,7850,5600,194,99,68,3352,482,3504,41,1009824,90412,15328,16787,2856,112223,2255,3245,6307,7008
"RI","City",9631,6717,14,1,0,0,10,317,1967,7,0,16,130,83,0,0,0,20921,5884,115062,1664,3937,704,267,3407,1736
"OK","Rural",947,1468,38,1,0,0,3,127,235,11,0,0,126,0,0,0,6318,2501,6000,0,780,1468,416,550,0,0
"CT","City",135081,208246,39,1,4,1,194,30068,191549,560,70,458,7725,3383,6155,353,4019849,1496,244193,414759,9293,215526,6475,32589,707,734
"MI","Town",7859,9964,14,1,0,0,10,40,2076,77,62,20,885,92,171,3,89418,6640,0,2608,585,3669,2475,3021,1421,1178
"IN","Rural",155,611,33,1,0,0,2,4,6,24,0,60,36,301,0,0,17443,290,0,94,306,371,50,45,0,0
"ME","Rural",1398,3009,25,1,0,0,3,174,134,0,0,0,0,0,0,0,15400,0,0,5068,612,1562,219,175,16,101
"NH","Rural",877,2663,19,1,0,0,2,100,300,10,4,7,100,80,8,2,49620,0,0,0,884,780,208,248,241,193
"MA","Suburban",32091,527852,46,1,0,0,19,14300,0,198,60,57,5066,1209,0,0,2055276,48842,0,78051,3364,186551,10369,16803,82065,85706
"OK","City",798575,6806735,34,1,18,0,432,280399,1477618,1398,757,1456,32212,11053,29257,583,42778890,406984,0,545290,63160,1592761,137748,405386,7751,6625
