FSCS Key,Library Name,Locale,Service Area Population,Total Circulation,Percentage of Children's Material Circulation,Electronic Material Circulation,Print Material Circulation,Other Physical Item Circulation
AK0001,ANCHOR POINT PUBLIC LIBRARY,Rural,"2,105","8,684",31,0,"8,684",0
AK0002,ANCHORAGE PUBLIC LIBRARY,City,"291,247","880,890",21,"389,911","490,979",
AK0002,ANCHORAGE PUBLIC LIBRARY,City,"291,247",,,,,-1
AK0003,ANDERSON COMMUNITY LIBRARY,Rural,177,766,47,7,759,
AK0003,ANDERSON COMMUNITY LIBRARY,Rural,177,,,,,-1
AK0006,KUSKOKWIM CONSORTIUM LIBRARY,Town,"6,325","9,980",34,"1,576","8,404",0
AK0007,BIG LAKE PUBLIC LIBRARY,Rural,"10,066","28,701",50,0,"28,701",8
AK0008,CANTWELL COMMUNITY LIBRARY,Rural,196,775,29,117,658,0
AK0011,CHINIAK PUBLIC LIBRARY,Rural,61,"2,303",20,109,"2,194",0
AK0014,COLD BAY PUBLIC LIBRARY,Rural,50,"1,722",3,0,"1,722",0
AK0015,COOPER LANDING COMMUNITY LIBRARY,Rural,344,349,0,325,24,24
AK0016,CORDOVA PUBLIC LIBRARY,Rural,"2,609","13,162",44,"3,505","9,657",0
AK0017,CRAIG PUBLIC LIBRARY,Rural,"1,036","17,254",29,"1,274","15,980",0
AK0019,DELTA COMMUNITY LIBRARY,Rural,918,"40,001",48,"6,822","33,179",0
AK0020,DILLINGHAM PUBLIC LIBRARY,Rural,"2,249","6,601",0,"1,083","5,518",729
AK0021,EAGLE PUBLIC LIBRARY,Rural,83,"3,731",0,212,"3,519",13
AK0023,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,City,"95,655","538,267",30,"121,270","416,997",0
AK0025,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,Rural,472,"7,549",30,0,"7,549","4,367"
AK0027,COPPER VALLEY COMMUNITY LIBRARY,Rural,439,"6,018",26,"1,111","4,907",0
AK0028,GUSTAVUS PUBLIC LIBRARY,Rural,655,"9,950",37,"1,463","8,487",0
AK0029,HAINES BOROUGH PUBLIC LIBRARY,Rural,"2,080","88,180",0,"3,891","84,289",86
AK0030,TRI-VALLEY COMMUNITY LIBRARY,Rural,966,"3,590",10,"3,156",434,379
AK0031,HOLLIS PUBLIC LIBRARY,Rural,65,"2,278",2,0,"2,278",0
AK0032,HOMER PUBLIC LIBRARY,Rural,"5,522","129,584",34,"25,186","104,398",0
AK0033,HOPE SUNRISE COMMUNITY LIBRARY,Rural,161,757,19,0,757,0
AK0035,JUNEAU PUBLIC LIBRARIES,Town,"32,255","211,802",39,"33,139","178,663",
AK0035,JUNEAU PUBLIC LIBRARIES,Town,"32,255",,,,,-1
AK0037,KASILOF PUBLIC LIBRARY,Rural,525,"4,426",24,0,"4,426",3
AK0038,KENAI COMMUNITY LIBRARY,Town,"7,424","97,507",31,"17,283","80,224",0
AK0039,KETCHIKAN PUBLIC LIBRARY,Town,"13,948","82,167",37,"21,378","60,789",13
AK0040,KODIAK PUBLIC LIBRARY,Town,"12,761","52,546",38,"11,367","41,179",0
AK0041,CHUKCHI CONSORTIUM LIBRARY,Town,"3,102","1,262",4,0,"1,262",652
AK0044,MCGRATH COMMUNITY LIBRARY,Rural,301,781,41,0,781,0
AK0046,CENTENNIAL LIBRARY,Rural,"1,454",108,0,103,5,5
AK0047,MARTIN MONSEN REGIONAL LIBRARY,Rural,844,"12,057",7,250,"11,807",0
AK0048,NENANA PUBLIC LIBRARY,Rural,482,"3,950",76,0,"3,950",7
AK0051,NINILCHIK COMMUNITY LIBRARY,Rural,845,"6,710",5,"1,161","5,549",0
AK0052,KEGOAYAH KOZGA LIBRARY,Town,"3,699","7,660",58,"1,617","6,043",0
AK0055,PALMER PUBLIC LIBRARY,Town,"28,295","183,816",25,"98,113","85,703",0
AK0056,PELICAN PUBLIC LIBRARY,Rural,98,"1,951",6,0,"1,951",
AK0056,PELICAN PUBLIC LIBRARY,Rural,98,,,,,-1
AK0057,PETERSBURG PUBLIC LIBRARY,Rural,"3,398","60,558",0,"4,651","55,907",0
