FSCS Key,Library Name,Locale,Suppression Note,Service Area Population,Local Revenue ($),State Revenue ($),Federal Revenue ($),Other Revenue ($),Total Revenue ($)
AK0001,ANCHOR POINT PUBLIC LIBRARY,Rural,,"2,105",0,"17,320",0,"54,554","71,874"
AK0002,ANCHORAGE PUBLIC LIBRARY,City,,"291,247","9,181,224","35,000","141,247",0,"9,357,471"
AK0003,ANDERSON COMMUNITY LIBRARY,Rural,,177,"6,885","7,000",0,0,"13,885"
AK0006,KUSKOKWIM CONSORTIUM LIBRARY,Town,,"6,325","89,600","7,000","41,515",0,"138,115"
AK0007,BIG LAKE PUBLIC LIBRARY,Rural,,"10,066","404,502","7,000","6,000",0,"417,502"
AK0008,CANTWELL COMMUNITY LIBRARY,Rural,,196,"5,000","7,000","8,028","3,904","23,932"
AK0011,CHINIAK PUBLIC LIBRARY,Rural,,61,0,"16,704","3,384",0,"20,088"
AK0014,COLD BAY PUBLIC LIBRARY,Rural,,50,"16,900","20,269","5,482",0,"42,651"
AK0015,COOPER LANDING COMMUNITY LIBRARY,Rural,,344,0,"7,000","6,300","27,603","40,903"
AK0016,CORDOVA PUBLIC LIBRARY,Rural,,"2,609","597,507","7,000","51,554",0,"656,061"
AK0017,CRAIG PUBLIC LIBRARY,Rural,,"1,036","120,921","11,052","4,052",416,"136,441"
AK0019,DELTA COMMUNITY LIBRARY,Rural,,918,"236,620","11,020","51,100","6,500","305,240"
AK0020,DILLINGHAM PUBLIC LIBRARY,Rural,,"2,249","142,444","19,226","16,000","1,161","178,831"
AK0021,EAGLE PUBLIC LIBRARY,Rural,,83,"2,000","7,000","9,350","2,144","20,494"
AK0023,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,City,,"95,655","5,734,176","21,000","19,606","45,613","5,820,395"
AK0025,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,Rural,,472,"19,587","7,000","13,500",0,"40,087"
AK0027,COPPER VALLEY COMMUNITY LIBRARY,Rural,,439,0,"7,000",0,"30,676","37,676"
AK0028,GUSTAVUS PUBLIC LIBRARY,Rural,,655,"105,872","10,000","5,992","12,738","134,602"
AK0029,HAINES BOROUGH PUBLIC LIBRARY,Rural,,"2,080","436,325","14,003","43,752","30,683","524,763"
AK0030,TRI-VALLEY COMMUNITY LIBRARY,Rural,,966,"5,000","7,000","36,000","1,417","49,417"
AK0031,HOLLIS PUBLIC LIBRARY,Rural,,65,"2,000","7,000",0,"1,012","10,012"
AK0032,HOMER PUBLIC LIBRARY,Rural,,"5,522","955,300","7,000","25,091","8,763","996,154"
AK0033,HOPE SUNRISE COMMUNITY LIBRARY,Rural,,161,0,"7,000",0,"25,225","32,225"
AK0035,JUNEAU PUBLIC LIBRARIES,Town,,"32,255","2,799,400","23,500","269,066",0,"3,091,966"
AK0037,KASILOF PUBLIC LIBRARY,Rural,,525,"9,448","7,000",0,0,"16,448"
AK0038,KENAI COMMUNITY LIBRARY,Town,,"7,424","936,183","12,476","28,300",0,"976,959"
AK0039,KETCHIKAN PUBLIC LIBRARY,Town,,"13,948","1,271,869","7,000",0,0,"1,278,869"
AK0040,KODIAK PUBLIC LIBRARY,Town,,"12,761","911,558",0,"23,648",0,"935,206"
AK0041,CHUKCHI CONSORTIUM LIBRARY,Town,,"3,102",0,"7,000","6,000",0,"13,000"
AK0044,MCGRATH COMMUNITY LIBRARY,Rural,,301,"9,000","7,000","29,540","1,200","46,740"
AK0046,CENTENNIAL LIBRARY,Rural,,"1,454","44,446","7,000",0,0,"51,446"
AK0047,MARTIN MONSEN REGIONAL LIBRARY,Rural,,844,"480,200","14,000",0,0,"494,200"
AK0048,NENANA PUBLIC LIBRARY,Rural,,482,"2,500","12,000","10,000",0,"24,500"
AK0051,NINILCHIK COMMUNITY LIBRARY,Rural,,845,"4,500","7,000","6,000","22,539","40,039"
AK0052,KEGOAYAH KOZGA LIBRARY,Town,,"3,699","307,779","9,040","14,477","8,167","339,463"
AK0055,PALMER PUBLIC LIBRARY,Town,,"28,295","626,633","7,000",225,0,"633,858"
AK0056,PELICAN PUBLIC LIBRARY,Rural,,98,"24,558","7,000",0,161,"31,719"
AK0057,PETERSBURG PUBLIC LIBRARY,Rural,,"3,398","444,930","7,000","55,661","13,012","520,603"
AK0058,JESSIE WAKEFIELD MEMORIAL LIBRARY,Rural,,170,"14,066","12,757","5,985",0,"32,808"
AK0064,SELDOVIA PUBLIC LIBRARY,Rural,,235,"7,000","7,000",0,0,"14,000"
