FSCS Key,Library Name,Locale,Service Area Population,Hours/Year,Physical Visits,Reference Transactions,Registered Users,Inter-library Loans to Other Library,Inter-library Loans from Other Library
AK0001,ANCHOR POINT PUBLIC LIBRARY,Rural,"2,105","1,404","5,127",204,"1,950",0,30
AK0002,ANCHORAGE PUBLIC LIBRARY,City,"291,247","7,596","261,807","37,779","123,846",0,0
AK0003,ANDERSON COMMUNITY LIBRARY,Rural,177,420,421,191,138,5,0
AK0006,KUSKOKWIM CONSORTIUM LIBRARY,Town,"6,325","2,040","12,817",287,"2,062",0,0
AK0007,BIG LAKE PUBLIC LIBRARY,Rural,"10,066","2,356","27,063",947,"2,867",64,59
AK0008,CANTWELL COMMUNITY LIBRARY,Rural,196,720,480,20,170,0,0
AK0011,CHINIAK PUBLIC LIBRARY,Rural,61,600,"2,054",70,90,0,0
AK0014,COLD BAY PUBLIC LIBRARY,Rural,50,576,"1,196",0,136,0,0
AK0015,COOPER LANDING COMMUNITY LIBRARY,Rural,344,600,"1,155",20,135,0,42
AK0016,CORDOVA PUBLIC LIBRARY,Rural,"2,609","2,027","11,475","1,400","3,006",1,240
AK0017,CRAIG PUBLIC LIBRARY,Rural,"1,036","2,304","5,472",864,"1,991",0,412
AK0019,DELTA COMMUNITY LIBRARY,Rural,918,"2,392","35,949","3,796","3,366",59,739
AK0020,DILLINGHAM PUBLIC LIBRARY,Rural,"2,249","1,560","3,568",49,"3,777",0,127
AK0021,EAGLE PUBLIC LIBRARY,Rural,83,0,"1,020",0,220,0,0
AK0023,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,City,"95,655","5,844","203,237","43,750","42,522",774,660
AK0025,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,Rural,472,750,"2,664",67,532,0,27
AK0027,COPPER VALLEY COMMUNITY LIBRARY,Rural,439,780,"1,560","1,500",697,0,150
AK0028,GUSTAVUS PUBLIC LIBRARY,Rural,655,"1,352","3,327",115,643,0,147
AK0029,HAINES BOROUGH PUBLIC LIBRARY,Rural,"2,080","2,288","37,500",327,"3,198",70,82
AK0030,TRI-VALLEY COMMUNITY LIBRARY,Rural,966,816,"1,162",47,"1,057",0,63
AK0031,HOLLIS PUBLIC LIBRARY,Rural,65,903,"1,724",433,302,0,0
AK0032,HOMER PUBLIC LIBRARY,Rural,"5,522","2,596","67,357","4,485","10,747",225,251
AK0033,HOPE SUNRISE COMMUNITY LIBRARY,Rural,161,780,"1,541",52,170,0,30
AK0035,JUNEAU PUBLIC LIBRARIES,Town,"32,255","5,948","137,339","25,723","17,698",16,332
AK0037,KASILOF PUBLIC LIBRARY,Rural,525,,"2,548",175,93,0,0
AK0037,KASILOF PUBLIC LIBRARY,Rural,525,-1,,,,,
AK0038,KENAI COMMUNITY LIBRARY,Town,"7,424","2,667","48,220","9,561","6,822",0,10
AK0039,KETCHIKAN PUBLIC LIBRARY,Town,"13,948","2,496","33,824","4,200","9,005",338,124
AK0040,KODIAK PUBLIC LIBRARY,Town,"12,761","2,496","34,780",320,"9,360",87,37
AK0041,CHUKCHI CONSORTIUM LIBRARY,Town,"3,102","2,010","1,259",0,"1,254",0,0
AK0044,MCGRATH COMMUNITY LIBRARY,Rural,301,800,190,5,384,0,57
AK0046,CENTENNIAL LIBRARY,Rural,"1,454","1,000","1,040",0,500,0,15
AK0047,MARTIN MONSEN REGIONAL LIBRARY,Rural,844,,"7,359",476,407,0,15
AK0047,MARTIN MONSEN REGIONAL LIBRARY,Rural,844,-1,,,,,
AK0048,NENANA PUBLIC LIBRARY,Rural,482,,350,"3,000",86,0,0
AK0048,NENANA PUBLIC LIBRARY,Rural,482,-1,,,,,
AK0051,NINILCHIK COMMUNITY LIBRARY,Rural,845,900,"3,041",0,602,0,75
AK0052,KEGOAYAH KOZGA LIBRARY,Town,"3,699","1,800","5,000","1,000","2,944",0,16
AK0055,PALMER PUBLIC LIBRARY,Town,"28,295","1,755","38,568","1,902","9,784",225,32
AK0056,PELICAN PUBLIC LIBRARY,Rural,98,714,"2,080",0,270,0,0
AK0057,PETERSBURG PUBLIC LIBRARY,Rural,"3,398","2,400","30,000","2,165","2,897",0,12
AK0058,JESSIE WAKEFIELD MEMORIAL LIBRARY,Rural,170,780,"2,040",286,164,5,438
AK0064,SELDOVIA PUBLIC LIBRARY,Rural,235,538,"2,082",76,383,0,4
AK0065,SEWARD COMMUNITY LIBRARY AND MUSEUM,Rural,"2,717","2,340","84,215","168,430","1,327",0,0
AK0067,SITKA PUBLIC LIBRARY,Rural,"8,458","2,392","68,595","4,663","5,241",125,95
AK0068,SKAGWAY PUBLIC LIBRARY,Rural,"1,164","2,344","9,959","1,100",546,25,71
AK0069,JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,Town,"4,342","2,704","67,347","4,971","10,860",1,12
AK0070,SUTTON PUBLIC LIBRARY/COMMUNITY RESOURCE CENTER,Rural,"4,758","2,095","16,494",143,"1,582",43,22
AK0071,TAKOTNA COMMUNITY LIBRARY,Rural,56,560,36,0,50,0,0
AK0072,TALKEETNA PUBLIC LIBRARY,Rural,"7,635","2,121","28,398","2,363","5,678",60,45
AK0073,TANANA COMMUNITY/SCHOOL LIBRARY,Rural,246,,"1,197",121,218,0,0
AK0073,TANANA COMMUNITY/SCHOOL LIBRARY,Rural,246,-1,,,,,
AK0074,DERMOTT O`TOOLE MEMORIAL LIBRARY,Rural,116,498,682,88,132,0,102
AK0075,TOK COMMUNITY LIBRARY,Rural,"1,243",996,"1,842",168,450,0,0
AK0077,VALDEZ CONSORTIUM LIBRARY,Rural,"3,985","2,496","18,699",400,"3,880",17,10
AK0078,WASILLA PUBLIC LIBRARY,Town,"48,422","2,000","85,306","3,069","15,597",268,140
AK0080,WILLOW PUBLIC LIBRARY,Rural,"4,941","2,088","13,144",852,"1,929",128,86
AK0081,IRENE INGLE PUBLIC LIBRARY,Rural,"2,127","1,508","13,936","1,742","2,320",0,138
AK0085,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,Rural,178,780,"1,173",24,584,0,74
AK0094,TUZZY CONSORTIUM LIBRARY,Town,"11,031",,"17,843",108,"2,232",0,0
AK0094,TUZZY CONSORTIUM LIBRARY,Town,"11,031",-1,,,,,
AK0099,MOOSE PASS PUBLIC LIBRARY,Rural,228,661,696,9,313,0,99
AK0100,TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY,Rural,89,490,800,0,45,0,0
AK0102,EGEGIK VILLAGE LIBRARY,Rural,39,720,390,0,37,0,0
AK0103,TRAPPER CREEK PUBLIC LIBRARY,Rural,"2,964","1,300","3,948",329,405,0,0
AK0104,HOLY CROSS COMMUNITY/SCHOOL LIBRARY,Rural,176,480,725,0,45,0,0
AK0113,OUZINKIE TRIBAL MEDIA CENTER,Rural,109,"1,560","1,040",0,130,0,0
AK0115,UNALASKA PUBLIC LIBRARY,Rural,"4,254","3,407","15,479",366,"10,459","2,390",90
AK0116,ANIAK PUBLIC LIBRARY,Rural,507,"1,040",445,0,1,0,0
AK0117,HYDER PUBLIC LIBRARY,Rural,48,980,547,14,67,0,0
AK0120,INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY,Rural,100,360,36,0,45,0,0
AK0121,BLACKWELL COMMUNITY/SCHOOL LIBRARY,Rural,70,280,200,0,45,0,0
AK0122,DAVID LOUIS COMMUNITY/SCHOOL LIBRARY,Rural,210,360,800,0,55,0,0
AK0124,LAKE MINCHUMINA COMMUNITY LIBRARY,Rural,30,700,960,0,50,0,0
AK0126,IGIUGIG TRIBAL LIBRARY,Rural,68,576,874,230,75,0,3
AK0127,COFFMAN COVE COMMUNITY LIBRARY,Rural,127,"1,336","2,061",332,384,0,112
AK0130,THORNE BAY PUBLIC LIBRARY,Rural,476,"1,200",324,3,137,0,0
AK0134,WHALE PASS COMMUNITY LIBRARY,Rural,86,788,"2,747",109,92,0,0
AK0137,KLUKWAN COMMUNITY/SCHOOL LIBRARY,Rural,87,"1,395",100,2,280,0,2
AK0139,SAMUEL B. FOSS LIBRARY,Rural,43,0,512,8,92,0,35
AK0140,EDNA BAY COMMUNITY LIBRARY,Rural,25,507,381,10,32,0,4
AL0001,CARL ELLIOTT REGIONAL LIBRARY SYSTEM,Town,"63,652","2,340",0,0,0,0,0
AL0002,ARLEY PUBLIC LIBRARY,Rural,340,"1,820","7,692","10,987","2,003",0,0
AL0005,DOUBLE SPRINGS PUBLIC LIBRARY,Rural,"1,062","2,210","6,253","1,279","1,860",0,0
AL0006,HALEYVILLE PUBLIC LIBRARY,Town,"4,104","2,340","7,863","2,332","3,616",0,0
AL0007,JASPER PUBLIC LIBRARY,Town,"13,278","2,124","28,347","4,037","15,996",0,0
AL0009,SUMITON PUBLIC LIBRARY,Town,"2,330","2,340","7,039",215,"2,653",0,0
AL0010,CHEAHA REGIONAL LIBRARY,Rural,"99,877","3,560","2,299",385,"7,439",32,75
AL0011,ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY,Town,"5,940","1,892","34,039","3,704","2,725",0,0
AL0012,ASHLAND CITY PUBLIC LIBRARY,Rural,"1,872","2,003","8,878","1,524","6,202",0,0
AL0013,SYLACAUGA - B. B. COMER MEMORIAL LIBRARY,Town,"11,939","2,659","42,843","18,323","33,667",3,2
AL0014,CHEROKEE COUNTY PUBLIC LIBRARY,Town,"3,528","1,959","40,695","6,050","9,459",30,58
AL0015,CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY,Town,"4,781","2,490","18,004",265,"15,724",43,50
AL0016,LINCOLN PUBLIC LIBRARY,Rural,"6,979","2,170","6,969","6,864","2,414",6,11
AL0017,LINEVILLE PUBLIC LIBRARY,Rural,"2,221","2,080","5,000",700,"1,475",25,36
AL0018,HEFLIN - LUCILE L. MORGAN PUBLIC LIBRARY,Rural,"3,408","1,510","5,756",0,"6,196",5,10
AL0019,OXFORD PUBLIC LIBRARY,City,"21,216","2,344","36,354","8,559","27,130",59,36
AL0020,TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY,Town,"15,300","2,192","14,000","40,200","21,592",58,16
