FSCS Key,Library Name,Locale,Service Area Population,Central Library,Branch Library,Bookmobiles
AK0001,ANCHOR POINT PUBLIC LIBRARY,Rural,"2,105",1,0,0
AK0002,ANCHORAGE PUBLIC LIBRARY,City,"291,247",1,4,0
AK0003,ANDERSON COMMUNITY LIBRARY,Rural,177,1,0,0
AK0006,KUSKOKWIM CONSORTIUM LIBRARY,Town,"6,325",1,0,0
AK0007,BIG LAKE PUBLIC LIBRARY,Rural,"10,066",1,0,0
AK0008,CANTWELL COMMUNITY LIBRARY,Rural,196,1,0,0
AK0011,CHINIAK PUBLIC LIBRARY,Rural,61,1,0,0
AK0014,COLD BAY PUBLIC LIBRARY,Rural,50,1,0,0
AK0015,COOPER LANDING COMMUNITY LIBRARY,Rural,344,1,0,0
AK0016,CORDOVA PUBLIC LIBRARY,Rural,"2,609",1,0,0
AK0017,CRAIG PUBLIC LIBRARY,Rural,"1,036",1,0,0
AK0019,DELTA COMMUNITY LIBRARY,Rural,918,1,0,0
AK0020,DILLINGHAM PUBLIC LIBRARY,Rural,"2,249",1,0,0
AK0021,EAGLE PUBLIC LIBRARY,Rural,83,1,0,0
AK0023,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,City,"95,655",1,1,1
AK0025,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,Rural,472,1,0,0
AK0027,COPPER VALLEY COMMUNITY LIBRARY,Rural,439,1,0,0
AK0028,GUSTAVUS PUBLIC LIBRARY,Rural,655,1,0,0
AK0029,HAINES BOROUGH PUBLIC LIBRARY,Rural,"2,080",1,0,0
AK0030,TRI-VALLEY COMMUNITY LIBRARY,Rural,966,1,0,0
AK0031,HOLLIS PUBLIC LIBRARY,Rural,65,1,0,0
AK0032,HOMER PUBLIC LIBRARY,Rural,"5,522",1,0,0
AK0033,HOPE SUNRISE COMMUNITY LIBRARY,Rural,161,1,0,0
AK0035,JUNEAU PUBLIC LIBRARIES,Town,"32,255",1,2,0
AK0037,KASILOF PUBLIC LIBRARY,Rural,525,1,0,0
AK0038,KENAI COMMUNITY LIBRARY,Town,"7,424",1,0,0
AK0039,KETCHIKAN PUBLIC LIBRARY,Town,"13,948",1,0,0
AK0040,KODIAK PUBLIC LIBRARY,Town,"12,761",1,0,0
AK0041,CHUKCHI CONSORTIUM LIBRARY,Town,"3,102",1,0,0
AK0044,MCGRATH COMMUNITY LIBRARY,Rural,301,1,0,0
AK0046,CENTENNIAL LIBRARY,Rural,"1,454",1,0,0
AK0047,MARTIN MONSEN REGIONAL LIBRARY,Rural,844,1,1,0
AK0048,NENANA PUBLIC LIBRARY,Rural,482,1,0,0
AK0051,NINILCHIK COMMUNITY LIBRARY,Rural,845,1,0,0
AK0052,KEGOAYAH KOZGA LIBRARY,Town,"3,699",1,0,0
AK0055,PALMER PUBLIC LIBRARY,Town,"28,295",1,0,0
AK0056,PELICAN PUBLIC LIBRARY,Rural,98,1,0,0
AK0057,PETERSBURG PUBLIC LIBRARY,Rural,"3,398",1,0,0
AK0058,JESSIE WAKEFIELD MEMORIAL LIBRARY,Rural,170,1,0,0
AK0064,SELDOVIA PUBLIC LIBRARY,Rural,235,1,0,0
AK0065,SEWARD COMMUNITY LIBRARY AND MUSEUM,Rural,"2,717",1,0,0
AK0067,SITKA PUBLIC LIBRARY,Rural,"8,458",1,0,0
AK0068,SKAGWAY PUBLIC LIBRARY,Rural,"1,164",1,0,0
AK0069,JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,Town,"4,342",1,0,0
AK0070,SUTTON PUBLIC LIBRARY/COMMUNITY RESOURCE CENTER,Rural,"4,758",1,0,0
AK0071,TAKOTNA COMMUNITY LIBRARY,Rural,56,1,0,0
AK0072,TALKEETNA PUBLIC LIBRARY,Rural,"7,635",1,0,0
AK0073,TANANA COMMUNITY/SCHOOL LIBRARY,Rural,246,1,0,0
AK0074,DERMOTT O`TOOLE MEMORIAL LIBRARY,Rural,116,1,0,0
AK0075,TOK COMMUNITY LIBRARY,Rural,"1,243",1,0,0
AK0077,VALDEZ CONSORTIUM LIBRARY,Rural,"3,985",1,0,0
AK0078,WASILLA PUBLIC LIBRARY,Town,"48,422",1,0,0
AK0080,WILLOW PUBLIC LIBRARY,Rural,"4,941",1,0,0
AK0081,IRENE INGLE PUBLIC LIBRARY,Rural,"2,127",1,0,0
AK0085,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,Rural,178,1,0,0
AK0094,TUZZY CONSORTIUM LIBRARY,Town,"11,031",1,7,0
AK0099,MOOSE PASS PUBLIC LIBRARY,Rural,228,1,0,0
AK0100,TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY,Rural,89,1,0,0
AK0102,EGEGIK VILLAGE LIBRARY,Rural,39,1,0,0
AK0103,TRAPPER CREEK PUBLIC LIBRARY,Rural,"2,964",1,0,0
AK0104,HOLY CROSS COMMUNITY/SCHOOL LIBRARY,Rural,176,1,0,0
AK0113,OUZINKIE TRIBAL MEDIA CENTER,Rural,109,1,0,0
AK0115,UNALASKA PUBLIC LIBRARY,Rural,"4,254",1,0,0
AK0116,ANIAK PUBLIC LIBRARY,Rural,507,1,0,0
AK0117,HYDER PUBLIC LIBRARY,Rural,48,1,0,0
AK0120,INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY,Rural,100,1,0,0
AK0121,BLACKWELL COMMUNITY/SCHOOL LIBRARY,Rural,70,1,0,0
AK0122,DAVID LOUIS COMMUNITY/SCHOOL LIBRARY,Rural,210,1,0,0
AK0124,LAKE MINCHUMINA COMMUNITY LIBRARY,Rural,30,1,0,0
AK0126,IGIUGIG TRIBAL LIBRARY,Rural,68,1,0,0
AK0127,COFFMAN COVE COMMUNITY LIBRARY,Rural,127,1,0,0
AK0130,THORNE BAY PUBLIC LIBRARY,Rural,476,1,0,0
AK0134,WHALE PASS COMMUNITY LIBRARY,Rural,86,1,0,0
AK0137,KLUKWAN COMMUNITY/SCHOOL LIBRARY,Rural,87,1,0,0
AK0139,SAMUEL B. FOSS LIBRARY,Rural,43,1,0,0
AK0140,EDNA BAY COMMUNITY LIBRARY,Rural,25,1,0,0
AL0001,CARL ELLIOTT REGIONAL LIBRARY SYSTEM,Town,"63,652",1,0,0
AL0002,ARLEY PUBLIC LIBRARY,Rural,340,1,0,0
AL0005,DOUBLE SPRINGS PUBLIC LIBRARY,Rural,"1,062",1,0,0
AL0006,HALEYVILLE PUBLIC LIBRARY,Town,"4,104",1,0,0
AL0007,JASPER PUBLIC LIBRARY,Town,"13,278",1,0,0
AL0009,SUMITON PUBLIC LIBRARY,Town,"2,330",1,0,0
AL0010,CHEAHA REGIONAL LIBRARY,Rural,"99,877",1,0,1
AL0011,ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY,Town,"5,940",1,0,0
