FSCS Key,Library Name,Locale,Suppression Note,Service Area Population,Internet Computers,Computer Uses,Wireless Sessions
AK0001,ANCHOR POINT PUBLIC LIBRARY,Rural,,"2,105",5,"1,074","4,591"
AK0002,ANCHORAGE PUBLIC LIBRARY,City,,"291,247",161,"36,485","55,470"
AK0003,ANDERSON COMMUNITY LIBRARY,Rural,,177,,93,
AK0003,ANDERSON COMMUNITY LIBRARY,Rural,Data Note: Missing,177,-1,,-1
AK0006,KUSKOKWIM CONSORTIUM LIBRARY,Town,,"6,325",8,"1,902",
AK0006,KUSKOKWIM CONSORTIUM LIBRARY,Town,Data Note: Missing,"6,325",,,-1
AK0007,BIG LAKE PUBLIC LIBRARY,Rural,,"10,066",7,"4,252","4,326"
AK0008,CANTWELL COMMUNITY LIBRARY,Rural,,196,1,1,30
AK0011,CHINIAK PUBLIC LIBRARY,Rural,,61,4,527,"1,438"
AK0014,COLD BAY PUBLIC LIBRARY,Rural,,50,3,58,"31,044"
AK0015,COOPER LANDING COMMUNITY LIBRARY,Rural,,344,5,355,"2,668"
AK0016,CORDOVA PUBLIC LIBRARY,Rural,,"2,609",6,"1,582","10,852"
AK0017,CRAIG PUBLIC LIBRARY,Rural,,"1,036",3,"1,104","11,280"
AK0019,DELTA COMMUNITY LIBRARY,Rural,,918,7,"2,374","13,782"
AK0020,DILLINGHAM PUBLIC LIBRARY,Rural,,"2,249",5,757,"3,591"
AK0021,EAGLE PUBLIC LIBRARY,Rural,,83,3,153,"5,460"
AK0023,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,City,,"95,655",63,"14,538",0
AK0025,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,Rural,,472,1,448,1
AK0027,COPPER VALLEY COMMUNITY LIBRARY,Rural,,439,2,516,"3,400"
AK0028,GUSTAVUS PUBLIC LIBRARY,Rural,,655,6,193,"4,400"
AK0029,HAINES BOROUGH PUBLIC LIBRARY,Rural,,"2,080",10,"7,171","17,086"
AK0030,TRI-VALLEY COMMUNITY LIBRARY,Rural,,966,2,157,414
AK0031,HOLLIS PUBLIC LIBRARY,Rural,,65,1,121,850
AK0032,HOMER PUBLIC LIBRARY,Rural,,"5,522",13,"9,026","16,045"
AK0033,HOPE SUNRISE COMMUNITY LIBRARY,Rural,,161,2,260,800
AK0035,JUNEAU PUBLIC LIBRARIES,Town,,"32,255",33,"17,706","30,466"
AK0037,KASILOF PUBLIC LIBRARY,Rural,,525,,277,
AK0037,KASILOF PUBLIC LIBRARY,Rural,Data Note: Missing,525,-1,,-1
AK0038,KENAI COMMUNITY LIBRARY,Town,,"7,424",21,"5,535","75,460"
AK0039,KETCHIKAN PUBLIC LIBRARY,Town,,"13,948",8,"3,498","1,662"
AK0040,KODIAK PUBLIC LIBRARY,Town,,"12,761",10,"2,707","13,921"
AK0041,CHUKCHI CONSORTIUM LIBRARY,Town,,"3,102",10,623,328
AK0044,MCGRATH COMMUNITY LIBRARY,Rural,,301,4,50,750
AK0046,CENTENNIAL LIBRARY,Rural,,"1,454",5,800,0
AK0047,MARTIN MONSEN REGIONAL LIBRARY,Rural,,844,7,"1,503","8,849"
AK0048,NENANA PUBLIC LIBRARY,Rural,,482,7,300,"1,315"
AK0051,NINILCHIK COMMUNITY LIBRARY,Rural,,845,5,540,411
AK0052,KEGOAYAH KOZGA LIBRARY,Town,,"3,699",6,623,310
AK0055,PALMER PUBLIC LIBRARY,Town,,"28,295",17,"1,766","11,012"
AK0056,PELICAN PUBLIC LIBRARY,Rural,,98,3,542,"3,430"
AK0057,PETERSBURG PUBLIC LIBRARY,Rural,,"3,398",15,"2,304","14,542"
AK0058,JESSIE WAKEFIELD MEMORIAL LIBRARY,Rural,,170,,90,
AK0058,JESSIE WAKEFIELD MEMORIAL LIBRARY,Rural,Data Note: Missing,170,-1,,-1
AK0064,SELDOVIA PUBLIC LIBRARY,Rural,,235,5,216,"1,003"
AK0065,SEWARD COMMUNITY LIBRARY AND MUSEUM,Rural,,"2,717",19,"7,092","21,000"
AK0067,SITKA PUBLIC LIBRARY,Rural,,"8,458",4,"3,553","147,309"
AK0068,SKAGWAY PUBLIC LIBRARY,Rural,,"1,164",4,"2,659","7,100"
AK0069,JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,Town,,"4,342",13,"6,512","15,000"
AK0070,SUTTON PUBLIC LIBRARY/COMMUNITY RESOURCE CENTER,Rural,,"4,758",7,"1,449","2,839"
AK0071,TAKOTNA COMMUNITY LIBRARY,Rural,,56,4,10,14
AK0072,TALKEETNA PUBLIC LIBRARY,Rural,,"7,635",14,"2,437","5,903"
AK0073,TANANA COMMUNITY/SCHOOL LIBRARY,Rural,,246,,130,
AK0073,TANANA COMMUNITY/SCHOOL LIBRARY,Rural,Data Note: Missing,246,-1,,-1
AK0074,DERMOTT O`TOOLE MEMORIAL LIBRARY,Rural,,116,2,9,"2,098"
AK0075,TOK COMMUNITY LIBRARY,Rural,,"1,243",5,451,"2,221"
AK0077,VALDEZ CONSORTIUM LIBRARY,Rural,,"3,985",4,"1,158","3,017"
AK0078,WASILLA PUBLIC LIBRARY,Town,,"48,422",43,"13,657","5,381"
AK0080,WILLOW PUBLIC LIBRARY,Rural,,"4,941",8,"2,520","4,712"
AK0081,IRENE INGLE PUBLIC LIBRARY,Rural,,"2,127",8,"1,340","8,386"
AK0085,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,Rural,,178,1,61,"2,356"
AK0094,TUZZY CONSORTIUM LIBRARY,Town,,"11,031",36,"2,147","4,234"
AK0099,MOOSE PASS PUBLIC LIBRARY,Rural,,228,2,67,"1,205"
AK0100,TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY,Rural,,89,4,322,0
AK0102,EGEGIK VILLAGE LIBRARY,Rural,,39,,21,
AK0102,EGEGIK VILLAGE LIBRARY,Rural,Data Note: Missing,39,-1,,-1
AK0103,TRAPPER CREEK PUBLIC LIBRARY,Rural,,"2,964",9,623,"1,259"
AK0104,HOLY CROSS COMMUNITY/SCHOOL LIBRARY,Rural,,176,4,25,0
AK0113,OUZINKIE TRIBAL MEDIA CENTER,Rural,,109,4,572,572
AK0115,UNALASKA PUBLIC LIBRARY,Rural,,"4,254",17,"2,416","22,510"
