FSCS Key,Library Name,Locale,Service Area Population,Total Library Programs,Children's Programs,Young Adult Programs,Adult Programs,Total Program Attendance,Children's Program Attendance,Adult Program Attendance,General Interest Program Attendance,General Interest Programs
AK0001,ANCHOR POINT PUBLIC LIBRARY,Rural,"2,105",150,106,38,4,898,532,26,147,2
AK0002,ANCHORAGE PUBLIC LIBRARY,City,"291,247",758,222,34,253,"10,749","4,249","3,423","2,912",249
AK0003,ANDERSON COMMUNITY LIBRARY,Rural,177,-1,-2,-1,-1,-1,-2,-1,-1,-1
AK0006,KUSKOKWIM CONSORTIUM LIBRARY,Town,"6,325",80,42,8,24,"4,676",719,859,"2,865",6
AK0007,BIG LAKE PUBLIC LIBRARY,Rural,"10,066",249,85,25,139,"8,722","4,850","1,133",0,0
AK0008,CANTWELL COMMUNITY LIBRARY,Rural,196,8,8,0,0,17,17,0,0,0
AK0011,CHINIAK PUBLIC LIBRARY,Rural,61,144,86,36,6,"1,466",785,164,270,16
AK0014,COLD BAY PUBLIC LIBRARY,Rural,50,14,10,0,4,222,150,72,0,0
AK0015,COOPER LANDING COMMUNITY LIBRARY,Rural,344,4,4,0,0,14,14,0,0,0
AK0016,CORDOVA PUBLIC LIBRARY,Rural,"2,609",224,153,6,63,"2,034","1,366",351,280,2
AK0017,CRAIG PUBLIC LIBRARY,Rural,"1,036",16,8,6,2,521,406,70,0,0
AK0019,DELTA COMMUNITY LIBRARY,Rural,918,178,152,2,22,"5,297","4,453",662,63,2
AK0020,DILLINGHAM PUBLIC LIBRARY,Rural,"2,249",108,29,28,4,480,177,34,190,47
AK0021,EAGLE PUBLIC LIBRARY,Rural,83,3,1,1,0,28,5,0,20,1
AK0023,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,City,"95,655",432,174,115,58,"8,441","2,981",308,"3,402",85
AK0025,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,Rural,472,427,273,45,108,"5,917","4,461",722,419,1
AK0027,COPPER VALLEY COMMUNITY LIBRARY,Rural,439,-1,-2,-1,-1,-1,-2,-1,-1,-1
AK0028,GUSTAVUS PUBLIC LIBRARY,Rural,655,75,37,19,15,902,347,156,282,4
AK0029,HAINES BOROUGH PUBLIC LIBRARY,Rural,"2,080","1,400","1,374",3,21,"19,961","19,059",427,462,2
AK0030,TRI-VALLEY COMMUNITY LIBRARY,Rural,966,11,7,0,3,514,473,37,4,1
AK0031,HOLLIS PUBLIC LIBRARY,Rural,65,46,30,9,5,391,171,78,60,2
AK0032,HOMER PUBLIC LIBRARY,Rural,"5,522",232,89,22,45,"7,714","6,622",338,649,76
AK0033,HOPE SUNRISE COMMUNITY LIBRARY,Rural,161,6,3,1,2,0,0,0,0,0
AK0035,JUNEAU PUBLIC LIBRARIES,Town,"32,255",214,65,15,115,"4,572","2,347",939,"1,172",19
AK0037,KASILOF PUBLIC LIBRARY,Rural,525,0,0,0,0,0,0,0,0,0
AK0038,KENAI COMMUNITY LIBRARY,Town,"7,424",274,204,26,43,"10,196","8,163","1,410",5,1
AK0039,KETCHIKAN PUBLIC LIBRARY,Town,"13,948",44,12,8,10,"1,167",178,60,881,14
AK0040,KODIAK PUBLIC LIBRARY,Town,"12,761",143,71,33,19,"2,909","2,208",147,352,20
AK0041,CHUKCHI CONSORTIUM LIBRARY,Town,"3,102",8,4,2,0,37,18,0,14,2
AK0044,MCGRATH COMMUNITY LIBRARY,Rural,301,6,3,1,1,220,44,145,17,1
AK0046,CENTENNIAL LIBRARY,Rural,"1,454",4,2,2,0,,,0,0,0
AK0046,CENTENNIAL LIBRARY,Rural,"1,454",,,,,-1,-1,,,
AK0047,MARTIN MONSEN REGIONAL LIBRARY,Rural,844,10,0,0,3,295,0,91,204,7
AK0048,NENANA PUBLIC LIBRARY,Rural,482,23,20,1,0,148,114,0,30,2
AK0051,NINILCHIK COMMUNITY LIBRARY,Rural,845,3,2,0,0,46,11,0,35,1
AK0052,KEGOAYAH KOZGA LIBRARY,Town,"3,699",38,34,2,2,836,650,66,0,0
AK0055,PALMER PUBLIC LIBRARY,Town,"28,295",89,75,0,11,"6,069","3,535","1,063","1,471",3
AK0056,PELICAN PUBLIC LIBRARY,Rural,98,0,0,0,0,0,0,0,0,0
AK0057,PETERSBURG PUBLIC LIBRARY,Rural,"3,398",316,35,52,54,"78,761",498,402,"77,670",175
AK0058,JESSIE WAKEFIELD MEMORIAL LIBRARY,Rural,170,-1,-2,-1,-1,-1,-2,-1,-1,-1
